"","miRNA","Estimate","Std. Error","t/z value","P value","variable","FDR","model","Presence","Exponentiated_Estimate"
"116","MIR_20A_5P",0.375211101556109,0.353113944236914,1.06257797994058,0.288030612437661,"BMD",0.518812904390817,"linear",">10%",0.375211101556109
"86","MIR_181A_5P",0.309474028336175,0.29788453384651,1.03890599602474,0.298906884419443,"BMD",0.533775118266097,"linear",">10%",0.309474028336175
"30","MIR_126_5P",0.538137178386234,0.519158534602349,1.03655654779599,0.300018428542668,"BMD",0.533775118266097,"linear",">10%",0.538137178386234
"126","MIR_22_5P",0.184406564882511,0.180804178976337,1.01992424028344,0.307820074562981,"BMD",0.540984468283541,"linear",">10%",0.184406564882511
"287","RNU48_B1",-0.114359801977874,0.113283409187381,-1.00950176904292,0.312787035314287,"BMD",0.540984468283541,"linear",">10%",-0.114359801977874
"153","MIR_301A_3P",0.349102453993408,0.346033083968165,1.00887016348276,0.313117277208695,"BMD",0.540984468283541,"linear",">10%",0.349102453993408
"171","MIR_331_5P",-0.377136574856947,0.374645432202548,-1.00664933411774,0.314506418772979,"BMD",0.540984468283541,"linear",">10%",-0.377136574856947
"3","LET_7A_5P",0.774535032158207,0.770117519865118,1.00573615348195,0.314625783516866,"BMD",0.540984468283541,"linear",">10%",0.774535032158207
"43","MIR_129_1_3P",0.255876605564232,0.254750615738005,1.00441996900759,0.315263362551443,"BMD",0.540984468283541,"linear",">10%",0.255876605564232
"317","MIR_1291_B4",-0.588754463908685,0.587680244109794,-1.00182789843568,0.31642672052046,"BMD",0.466672501487009,"logistic","5-10%",0.55501814953325
"164","MIR_323A_3P",-0.310567418395343,0.313679840698711,-0.990077710137715,0.322301093942757,"BMD",0.546438153284049,"linear",">10%",-0.310567418395343
"97","MIR_190A",0.523744393865076,0.530379071812279,0.987490686756301,0.323557267607935,"BMD",0.546438153284049,"linear",">10%",0.523744393865076
"81","MIR_16_1_3P",0.298677262743719,0.302853959891188,0.986208873910811,0.324094352982263,"BMD",0.546438153284049,"linear",">10%",0.298677262743719
"28","MIR_125B_5P",0.308469116704423,0.316196868262849,0.975560315948472,0.329333887272421,"BMD",0.549753121023348,"linear",">10%",0.308469116704423
"50","MIR_130B_3P",0.327421529034011,0.335980967472251,0.974524037767268,0.329851872614009,"BMD",0.549753121023348,"linear",">10%",0.327421529034011
"182","MIR_362_5P",0.322024589950304,0.335607478158674,0.959527456649971,0.337369728723612,"BMD",0.557849949174806,"linear",">10%",0.322024589950304
"53","MIR_133A",0.337512749090223,0.35263318529273,0.957121346392979,0.338557210533675,"BMD",0.557849949174806,"linear",">10%",0.337512749090223
"211","MIR_485_3P",-0.594665820612317,0.627168899142039,-0.948174919747797,0.343371886558119,"BMD",0.562586706790138,"linear",">10%",-0.594665820612317
"59","MIR_139_5P",0.261262710424797,0.276967958368603,0.943295794804881,0.345579089786792,"BMD",0.563022112573987,"linear",">10%",0.261262710424797
"186","MIR_370",0.307848318933315,0.335650313729826,0.917169763711619,0.359108941341312,"BMD",0.579270155081726,"linear",">10%",0.307848318933315
"144","MIR_27B_5P",-0.347355594659224,0.378957049270487,-0.91660940290701,0.359546992809347,"BMD",0.579270155081726,"linear",">10%",-0.347355594659224
